type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id 
tiltRightBack, 0.0625, -0.078125, -0.1875, -0.274658203125, -1.678466796875,11.505126953125,-46.69189453125,-34.4696044921875,-8.60595703125,024E7593-FC60-41A0-9602-21C4E0DD2F4B 
tiltRightBack, 0.078125, -0.09375, -0.140625, 0.457763671875, -1.129150390625,8.392333984375,-46.69189453125,-34.4696044921875,-8.60595703125,024E7593-FC60-41A0-9602-21C4E0DD2F4B 
tiltRight, 0.0, 0.0, 0.015625, -0.091552734375, 0.1220703125,-0.79345703125,2.716064453125,-2.29644775390625,-0.38909912109375,A45E59DA-7ED9-4C70-81D8-1660C2AABE57 
tiltRight, 0.0, 0.0, 0.015625, -0.091552734375, -0.06103515625,-0.518798828125,1.5106201171875,-2.69317626953125,-1.15966796875,A45E59DA-7ED9-4C70-81D8-1660C2AABE57 
tiltRight, 0.0, 0.0, 0.015625, -0.030517578125, -0.06103515625,-0.3662109375,1.5106201171875,-2.69317626953125,-1.15966796875,A45E59DA-7ED9-4C70-81D8-1660C2AABE57 
tiltRight, 0.0, 0.0, 0.015625, -0.030517578125, -0.06103515625,-0.3662109375,32.1502685546875,9.05609130859375,-2.838134765625,A45E59DA-7ED9-4C70-81D8-1660C2AABE57 
tiltRight, 0.0, 0.0, 0.015625, -0.335693359375, 0.091552734375,-0.1220703125,-0.579833984375,-0.38909912109375,1.220703125,C4314474-F219-4B30-AB95-91C9F2AF81A5 
tiltRight, 0.0, 0.0, 0.0, -0.213623046875, 0.030517578125,-0.030517578125,-0.8697509765625,-0.12969970703125,0.7781982421875,C4314474-F219-4B30-AB95-91C9F2AF81A5 
tiltRight, 0.0, 0.0, 0.015625, -0.274658203125, 0.152587890625,0.152587890625,0.48828125,0.48065185546875,-0.1373291015625,C4314474-F219-4B30-AB95-91C9F2AF81A5 
tiltRight, 0.015625, 0.0, 0.015625, -0.274658203125, 0.152587890625,0.152587890625,0.48828125,0.48065185546875,-0.1373291015625,C4314474-F219-4B30-AB95-91C9F2AF81A5 
tiltRightBack, 0.015625, 0.015625, 0.015625, -0.213623046875, 0.152587890625,0.091552734375,0.18310546875,-0.89263916015625,3.47137451171875,BD5169BC-05C8-4049-92F4-4E3827EA44BA 
tiltRightBack, 0.0, 0.015625, 0.015625, -0.244140625, 0.1220703125,0.0,0.518798828125,0.26702880859375,2.1209716796875,BD5169BC-05C8-4049-92F4-4E3827EA44BA 
tiltRightBack, 0.0, 0.0, 0.015625, -0.30517578125, 0.1220703125,0.1220703125,0.518798828125,0.26702880859375,2.1209716796875,BD5169BC-05C8-4049-92F4-4E3827EA44BA 
