type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id
tiltLeftBack,-0.013671875,-0.033203125,0.09375,-4.180908203125,-0.133514404296875,-15.7232284545898,-6.07490539550781,-2.30026245117188,-2.76947021484375,AF12C043-50B4-4698-98D2-ABFA7E541E02
tiltLeft,-0.001953125,0.0,0.0068359375,-1.33609771728516,-0.573158264160156,-10.9062194824219,5.93948364257812,3.41606140136719,2.62451171875,B716A2D3-962B-497E-BD3C-3332085458C9
tiltLeftBack,-0.0283203125,-0.0361328125,0.125,-5.14411926269531,-0.0963211059570312,-16.8266296386719,-0.270843505859375,-0.37384033203125,-0.125885009765625,23F4013D-7CC4-49FA-B9D2-A31213A1602D
tiltLeft,-0.01220703125,-0.0087890625,0.0048828125,-1.32942199707031,-0.75531005859375,-11.1522674560547,-13.7929916381836,-7.04002380371094,-1.60694122314453,7C94D4C5-796F-4734-B35A-5FF1FC98206F
tiltLeft,-0.0048828125,-0.0078125,0.0390625,-0.139236450195312,0.003814697265625,0.277519226074219,0.513076782226562,-1.50108337402344,-0.673294067382812,BB98EC00-1CE2-4628-83DA-196002515DFC
tiltLeftBack,-0.0048828125,-0.0439453125,0.1533203125,-3.62968444824219,-1.068115234375,-7.8582763671875,-10.467529296875,-10.8737945556641,-2.72750854492188,D9CD56C3-54DB-4F55-BDDB-C99E0341929D
tiltLeft,0.0,0.0,0.037109375,-0.247955322265625,0.214576721191406,0.314712524414062,-21.7990875244141,-16.1066055297852,-3.55815887451172,AE6A3C16-83E8-4670-BE65-E5216276D89A
tiltLeftBack,-0.013671875,-0.060546875,0.150390625,-4.06074523925781,-0.493049621582031,-7.55023956298828,30.9696197509766,23.4851837158203,4.84657287597656,36AC0541-8409-4D63-934E-4EE25579679E
tiltLeft,0.00390625,-0.0068359375,0.0361328125,-0.324249267578125,0.146865844726562,0.02288818359375,-19.5274353027344,-23.1761932373047,-4.83131408691406,2FF6292D-B9B3-448F-BD85-D956DA16FF5A
tiltLeftBack,-0.01513671875,-0.0556640625,0.17431640625,-4.35638427734375,-1.17683410644531,-8.68606567382812,0.730514526367188,1.14059448242188,1.32369995117188,4981DC96-CA71-4DEC-BE33-72E3B3C37F1B
tiltLeft,0.0087890625,-0.0029296875,-0.013671875,-0.03814697265625,-0.095367431640625,0.505447387695312,2.7923583984375,-1.1138916015625,2.06184387207031,BCB1FC6A-3C20-498C-94C9-DB3AB21246B7
tiltLeftBack,0.0,-0.033203125,0.154296875,-3.6320686340332,-1.91020965576172,-9.2930793762207,-3.07655334472656,-4.32968139648438,1.85775756835938,3F995828-8D79-4F05-9D45-7BA9373F8B0E
tiltLeft,0.0,-0.001953125,-0.0078125,0.00667572021484375,-0.374794006347656,0.262260437011719,6.72531127929688,3.07846069335938,0.2899169921875,4EFE0271-CA8A-43CB-86BD-09E889CE6A8C
tiltLeftBack,0.0009765625,-0.0439453125,0.1640625,-3.83567810058594,-2.19917297363281,-9.54818725585938,-6.54411315917969,-2.64358520507812,-2.22015380859375,2021277D-BDDA-4E9E-BEAC-0B93B440EA5E
tiltLeft,0.0126953125,0.001953125,-0.0048828125,0.390052795410156,-0.905036926269531,-0.618934631347656,10.7669830322266,4.22096252441406,4.26864624023438,01EBCDD4-1396-402A-B89F-B1AE806FA53B
