type,xaccl,yaccl,zaccl,xmagnet,ymagnet,zmagnet,xgyro,ygyro,zgyro,id 
tiltRightBack, 0.0625, -0.046875, -0.15625, -0.213623046875, -1.312255859375,10.7421875,-4.39453125,-4.47845458984375,-6.53839111328125,8B94CF61-E531-4197-8A71-97E2BD4C34C3 
tiltRightBack, 0.0625, -0.046875, -0.15625, -0.030517578125, -1.068115234375,10.43701171875,-0.77056884765625,4.119873046875,0.41961669921875,8B94CF61-E531-4197-8A71-97E2BD4C34C3 
tiltRightBack, 0.046875, -0.046875, -0.171875, -0.030517578125, -1.068115234375,10.43701171875,-19.6304321289062,-15.2816772460938,-2.1820068359375,8B94CF61-E531-4197-8A71-97E2BD4C34C3 
tiltRightBack, 0.046875, -0.046875, -0.171875, 0.06103515625, -1.0986328125,9.429931640625,-68.3670043945312,-33.8058471679688,-5.340576171875,8B94CF61-E531-4197-8A71-97E2BD4C34C3 
tiltRight, 0.0, 0.0, -0.0, 0.732421875, -0.396728515625,2.288818359375,1.617431640625,5.13458251953125,2.4261474609375,B6419B78-B04B-407D-BB75-65752EA6EF87 
tiltRight, 0.0, 0.015625, -0.0, 0.244140625, -1.007080078125,-0.823974609375,0.28228759765625,5.523681640625,1.44195556640625,B6419B78-B04B-407D-BB75-65752EA6EF87 
tiltRight, 0.0, 0.0, -0.015625, 0.18310546875, -0.8544921875,-0.3662109375,46.2417602539062,30.5862426757812,8.04901123046875,B6419B78-B04B-407D-BB75-65752EA6EF87 
tiltRight, 0.0, 0.0, -0.015625, 0.518798828125, -0.79345703125,1.312255859375,53.2073974609375,35.858154296875,6.2103271484375,B6419B78-B04B-407D-BB75-65752EA6EF87 
tiltRightBack, 0.0625, -0.0625, -0.171875, -0.274658203125, -1.953125,10.894775390625,-0.457763671875,5.16510009765625,1.739501953125,9B197C4F-9BBD-4868-80CE-1A496140E716 
tiltRightBack, 0.0625, -0.0625, -0.1875, -0.274658203125, -1.953125,10.894775390625,-43.7469482421875,-19.1116333007812,-10.07080078125,9B197C4F-9BBD-4868-80CE-1A496140E716 
tiltRightBack, 0.046875, -0.046875, -0.140625, 0.30517578125, -1.40380859375,9.246826171875,-43.7469482421875,-19.1116333007812,-10.07080078125,9B197C4F-9BBD-4868-80CE-1A496140E716 
tiltRightBack, 0.046875, -0.046875, -0.0625, 0.67138671875, -0.9765625,4.669189453125,-36.2930297851562,-12.9547119140625,-3.4332275390625,9B197C4F-9BBD-4868-80CE-1A496140E716 
tiltRight, 0.0, 0.015625, -0.0, 0.244140625, -1.0986328125,-0.701904296875,11.23046875,13.031005859375,2.38800048828125,24841831-4533-4193-BE11-76AE620E8D3D 
tiltRight, 0.0, 0.0, -0.046875, 0.30517578125, -0.8544921875,0.06103515625,72.4411010742188,26.6952514648438,12.5961303710938,24841831-4533-4193-BE11-76AE620E8D3D 
tiltRight, 0.0, 0.0, -0.125, 0.30517578125, -0.8544921875,0.06103515625,27.618408203125,58.7844848632812,5.6304931640625,24841831-4533-4193-BE11-76AE620E8D3D 
tiltRight, 0.046875, -0.03125, -0.171875, 0.335693359375, -2.13623046875,9.063720703125,21.3241577148438,5.42449951171875,1.51824951171875,24841831-4533-4193-BE11-76AE620E8D3D 
tiltRightBack, 0.078125, -0.0625, -0.1875, -0.42724609375, -2.44140625,12.02392578125,-1.953125,3.570556640625,-0.3662109375,50BC11CC-0D15-4598-916A-85214279CDB6 
tiltRightBack, 0.078125, -0.0625, -0.1875, -0.42724609375, -2.349853515625,11.474609375,-1.953125,3.570556640625,-0.3662109375,50BC11CC-0D15-4598-916A-85214279CDB6 
tiltRightBack, 0.09375, -0.0625, -0.171875, -0.42724609375, -2.349853515625,11.474609375,-69.7555541992188,-32.2418212890625,-8.87298583984375,50BC11CC-0D15-4598-916A-85214279CDB6 
tiltRightBack, 0.03125, 0.0, -0.046875, -0.42724609375, -2.349853515625,11.474609375,-31.3491821289062,-11.5585327148438,-7.22503662109375,50BC11CC-0D15-4598-916A-85214279CDB6 
tiltRight, -0.015625, 0.015625, 0.015625, -0.244140625, -0.42724609375,-0.79345703125,0.61798095703125,3.73077392578125,0.63323974609375,5088C791-E90A-4C36-B630-5C308F481488 
tiltRight, 0.0, 0.0, 0.015625, -0.091552734375, -0.3662109375,-0.91552734375,0.35858154296875,1.0833740234375,2.52532958984375,5088C791-E90A-4C36-B630-5C308F481488 
tiltRight, -0.015625, 0.0, -0.0, -0.091552734375, -0.3662109375,-0.91552734375,11.016845703125,9.45281982421875,2.3345947265625,5088C791-E90A-4C36-B630-5C308F481488 
